Section;MSIC Code;Description;ISIC CODE
A;01111;Growing of maize;0111
A;01113;Growing of oil seeds;0111
A;01119;Growing of other cereals n.e.c.;0111
A;01120;Growing of paddy;0112
A;01131;Growing of leafy or stem vegetables;0113
A;01132;Growing of fruits bearing vegetables;0113
A;01133;Growing of melons;0113
A;01134;Growing of mushrooms and truffles;0113
A;01135;Growing of vegetables seeds, except beet seeds;0113
A;01136;Growing of other vegetables;0113
A;01137;Growing of sugar beet;0113
A;01138;Growing of roots, tubers, bulb or tuberous vegetables;0113
A;01140;Growing of sugar cane;0114
A;01150;Growing of tobacco;0115
A;01160;Growing of fibre crops;0116
A;01191;Growing of flowers;0119
A;01192;Growing of flower seeds;0119
A;01193;Growing of sago (rumbia);0119
A;01199;Growing of other non-perennial crops n.e.c.;0119
A;01210;Growing of grapes;0121
A;01221;Growing of banana;0122
A;01222;Growing of mango;0122
A;01223;Growing of durian;0122
A;01224;Growing of rambutan;0122
A;01225;Growing of star fruit;0122
A;01226;Growing of papaya;0122
A;01227;Growing of pineapple;0122
A;01228;Growing of pitaya (dragon fruit);0122
A;01229;Growing of other tropical and subtropical fruits n.e.c.;0122
A;01231;Growing of pomelo;0123
A;01232;Growing of lemon and limes;0123
A;01233;Growing of tangerines and mandarin;0123
A;01239;Growing of other citrus fruits n.e.c.;0123
A;01241;Growing of guava;0124
A;01249;Growing of other pome fruits and stones fruits n.e.c.;0124
A;01251;Growing of berries;0125
A;01252;Growing of fruit seeds;0125
A;01253;Growing of edible nuts;0125
A;01259;Growing of other tree and bush fruits;0125
A;01261;Growing of oil palm (estate);0126
A;01262;Growing of oil palm (smallholdings);0126
A;01263;Growing of coconut (estate and smallholdings);0126
A;01269;Growing of other oleaginous fruits n.e.c.;0126
A;01271;Growing of coffee;0127
A;01272;Growing of tea;0127
A;01273;Growing of cocoa;0127
A;01279;Growing of other beverage crops n.e.c.;0127
A;01281;Growing of pepper (piper nigrum);0128
A;01282;Growing of chilies and pepper (capsicum spp.);0128
A;01283;Growing of nutmeg;0128
A;01284;Growing of ginger;0128
A;01285;Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes;0128
A;01289;Growing of other spices and aromatic crops n.e.c.;0128
A;01291;Growing of rubber trees (estate);0129
A;01292;Growing of rubber trees (smallholdings);0129
A;01293;Growing of trees for extraction of sap;0129
A;01294;Growing of nipa palm;0129
A;01295;Growing of areca;0129
A;01296;Growing of roselle;0129
A;01299;Growing of other perennial crops n.e.c.;0129
A;01301;Growing of plants for planting;0130
A;01302;Growing of plants for ornamental purposes;0130
A;01303;Growing of live plants for bulbs, tubers and roots cuttings and slips mushroom spawn;0130
A;01304;Operation of tree nurseries;0130
A;01411;Raising, breeding and production of cattle or buffaloes;0141
A;01412;Production of raw milk from cows or buffaloes;0141
A;01413;Production of bovine semen;0141
A;01420;Raising and breeding of horses, asses, mules or hinnes;0142
A;01430;Raising and breeding of camels (dromedary) and camelids;0143
A;01441;Raising, breeding and production of sheep and goats;0144
A;01442;Production of raw sheep or goat’s milk;0144
A;01443;Production of raw wool;0144
A;01450;Raising, breeding and production of swine/pigs;0145
A;01461;Raising, breeding and production of chicken, broiler;0146
A;01462;Raising, breeding and production of ducks;0146
A;01463;Raising, breeding and production of geese;0146
A;01464;Raising, breeding and production of quails;0146
A;01465;Raising and breeding of other poultry n.e.c.;0146
A;01466;Production of chicken eggs;0146
A;01467;Production of duck eggs;0146
A;01468;Production of other poultry eggs n.e.c.;0146
A;01469;Operation of poultry hatcheries;0146
A;01491;Raising, breeding and production of semi-domesticated;0149
A;01492;Production of fur skins, reptile or bird’s skin from ranching operation;0149
A;01493;Operation of worm farms, land mollusc farms, snail farms;0149
A;01494;Raising of silk worms and production of silk worm cocoons;0149
A;01495;Bee keeping and production of honey and beeswax;0149
A;01496;Raising and breeding of pet animalsForm C 2012 Guidebook Self Assessment System;0149
A;01497;Raising and breeding of swiflet;0149
A;01499;Raising of diverse/other animals n.e.c.;0149
A;01500;Mixed Farming;0150
A;01610;Agricultural activities for crops production on a fee or contract basis;0161
A;01620;Agricultural activities for animal production on a fee or contract basis;0162
A;01631;Preparation of crops for primary markets;0163
A;01632;Preparation of tobacco leaves;0163
A;01633;Preparation of cocoa beans;0163
A;01634;Sun-drying of fruits and vegetables;0163
A;01640;Seed processing for propagation;0164
A;01701;Hunting and trapping on a commercial basis;0170
A;01702;Taking of animals (dead or alive);0170
A;02101;Planting, replanting, transplanting, thinning and conserving of forests and timber tracts;0210
A;02102;Growing of coppice, pulpwood and fire wood;0210
A;02103;Operation of forest tree nurseries;0210
A;02104;Collection and raising of wildings (peat swamp forest tree species);0210
A;02105;Forest plantation;0210
A;02201;Production of round wood for forest-based manufacturing industries;0220
A;02202;Production of round wood used in an unprocessed form;0220
A;02203;Production of charcoal in the forest (using traditional methods);0220
A;02204;Rubber wood logging;0220
A;02301;Collection of rattan, bamboo;0230
A;02302;Bird’s nest collection;0230
A;02303;Wild sago palm collection;0230
A;02309;Gathering of non-wood forest products n.e.c.;0230
A;02401;Carrying out part of the forestry and forest plantation operation on a fee or contract basis for forestry service activities;0240
A;02402;Carrying out part of the forestry operation on a fee or contract basis for logging service activities;0240
A;03111;Fishing on a commercial basis in ocean and coastal waters;0311
A;03112;Collection of marine crustaceans and molluscs;0311
A;03113;Taking of aquatic animals: sea squirts, tunicates, sea urchins;0311
A;03114;Activities of vessels engaged both in fishing and in processing and preserving of fish;0311
A;03115;Gathering of other marine organisms and materials (natural pearls, sponges, coral and algae);0311
A;03119;Marine fishing n.e.c.;0311
A;03121;Fishing on a commercial basis in inland waters;0312
A;03122;Taking of freshwater crustaceans and molluscs;0312
A;03123;Taking of freshwater aquatic animals;0312
A;03124;Gathering of freshwater flora and fauna;0312
A;03129;Freshwater fishing n.e.c.;0312
A;03211;Fish farming in sea water;0321
A;03212;Production of bivalve spat (oyster, mussel), lobster lings, shrimp post-larvae, fish fry and fingerlingsForm C 2012 Guidebook Self Assessment System;0321
A;03213;Growing of laver and other edible seaweeds;0321
A;03214;Culture of crustaceans, bivalves, other molluscs and other aquatic animals in sea water;0321
A;03215;Aquaculture activities in brackish water;0321
A;03216;Aquaculture activities in salt water filled tanks or reservoirs;0321
A;03217;Operation of hatcheries (marine);0321
A;03218;Operation of marine worm farms for fish feed;0321
A;03219;Marine aquaculture n.e.c.;0321
A;03221;Fish farming in freshwater;0322
A;03222;Shrimp farming in freshwater;0322
A;03223;Culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals;0322
A;03224;Operation of hatcheries (freshwater);0322
A;03225;Farming of frogs;0322
A;03229;Freshwater aquaculture n.e.c.;0322
B;05100;Mining of hard coal;0510
B;05200;Mining of lignite (brown coal);0520
B;06101;Extraction of crude petroleum oils;0610
B;06102;Extraction of bituminous or oil shale and tar sand;0610
B;06103;Production of crude petroleum from bituminous shale and sand;0610
B;06104;Processes to obtain crude oils;0610
B;06201;Production of crude gaseous hydrocarbon (natural gas);0620
B;06202;Extraction of condensates;0620
B;06203;Draining and separation of liquid hydrocarbon fractions;0620
B;06204;Gas desulphurization;0620
B;06205;Mining of hydrocarbon liquids, obtain through liquefaction or pyrolysis;0620
B;07101;Mining of ores valued chiefly for iron content;0710
B;07102;Beneficiation and agglomeration of iron ores;0710
B;07210;Mining of uranium and thorium ores;0721
B;07291;Mining of tin ores;0729
B;07292;Mining of copper;0729
B;07293;Mining of bauxite (aluminium);0729
B;07294;Mining of ilmenite;0729
B;07295;Mining of gold;0729
B;07296;Mining of silver;0729
B;07297;Mining of platinum;0729
B;07298;Amang retreatment;0729
B;07299;Mining of other non-ferrous metal ores n.e.c.;0729
B;08101;Quarrying, rough trimming and sawing of monumental and building stone such as marble, granite (dimension stone), sandstone;0810
B;08102;Quarrying, crushing and breaking of limestone;0810
B;08103;Mining of gypsum and anhydrite;0810
B;08104;Mining of chalk and uncalcined dolomiteForm C 2012 Guidebook Self Assessment System;0810
B;08105;Extraction and dredging of industrial sand, sand for construction and gravel;0810
B;08106;Breaking and crushing of stone and gravel;0810
B;08107;Quarrying of sand;0810
B;08108;Mining of clays, refractory clays and kaolin;0810
B;08109;Quarrying, crushing and breaking of granite;0810
B;08911;Mining of natural phosphates;0891
B;08912;Mining of natural potassium salts;0891
B;08913;Mining of native sulphur;0891
B;08914;Extraction and preparation of pyrites and pyrrhotite, except roasting;0891
B;08915;Mining of natural barium sulphate and carbonate (barytes and witherite);0891
B;08916;Mining of natural borates, natural magnesium sulphates (kieserite);0891
B;08917;Mining of earth colours, fluorspar and other minerals valued chiefly as a source of chemicals;0891
B;08918;Guano mining;0891
B;08921;Peat digging;0892
B;08922;Peat agglomeration;0892
B;08923;Preparation of peat to improve quality or facilitate transport or storage;0892
B;08931;Extraction of salt from underground;0893
B;08932;Salt production by evaporation of sea water or other saline waters;0893
B;08933;Crushing, purification and refining of salt by the producer;0893
B;08991;Mining and quarrying of abrasive materials;0899
B;08992;Mining and quarrying of asbestos;0899
B;08993;Mining and quarrying of siliceous fossil meals;0899
B;08994;Mining and quarrying of natural graphite;0899
B;08995;Mining and quarrying of steatite (talc);0899
B;08996;Mining and quarrying of gemstones;0899
B;08999;Other mining and quarrying n.e.c.;0899
B;09101;Oil and gas extraction service activities provided on a fee or contract basis;0910
B;09102;Oil and gas field fire fighting services;0910
B;09900;Support activities for other mining and quarrying;0990
C;10101;Processing and preserving of meat and production of meat products;1010
C;10102;Processing and preserving of poultry and poultry products;1010
C;10103;Production of hides and skins originating from slaughterhouses;1010
C;10104;Operation of slaughterhouses engaged in killing, houses dressing or packing meat;1010
C;10109;Processing and preserving of meat n.e.c.;1010
C;10201;Canning of fish, crustaceans and mollusks;1020
C;10202;Processing, curing and preserving of fish, crustacean and molluscs;1020
C;10203;Production of fish meals for human consumption or animal feed;1020
C;10204;Production of keropok including keropok lekor;1020
C;10205;Processing of seaweed;1020
C;10301;Manufacture of fruits and vegetable food products;1030
C;10302;Manufacture of fruit and vegetable juices;1030
C;10303;Pineapple canning;1030
C;10304;Manufacture of jams, marmalades and table jellies Form C 2012 Guidebook Self Assessment System;1030
C;10305;Manufacture of nuts and nut products;1030
C;10306;Manufacture of bean curd products;1030
C;10401;Manufacture of crude palm oil;1040
C;10402;Manufacture of refined palm oil;1040
C;10403;Manufacture of palm kernel oil;1040
C;10404;Manufacture of crude and refined vegetable oil;1040
C;10405;Manufacture of coconut oil;1040
C;10406;Manufacture of compound cooking fats;1040
C;10407;Manufacture of animal oils and fats;1040
C;10501;Manufacture of ice cream and other edible ice such as sorbet;1050
C;10502;Manufacture of condensed, powdered and evaporated milk;1050
C;10509;Manufacture of other dairy products n.e.c.;1050
C;10611;Rice milling;1061
C;10612;Provision of milling services;1061
C;10613;Flour milling;1061
C;10619;Manufacture of grain mill products n.e.c.;1061
C;10621;Manufacture of starches and starch products;1062
C;10622;Manufacture of glucose, glucose syrup, maltose, inulin;1062
C;10623;Manufacture of sago and tapioca flour/products;1062
C;10711;Manufacture of biscuits and cookies;1071
C;10712;Manufacture of bread, cakes and other bakery products;1071
C;10713;Manufacture of snack products;1071
C;10714;Manufacture of frozen bakery products;1071
C;10721;Manufacture of sugar;1072
C;10722;Manufacture of sugar products;1072
C;10731;Manufacture of cocoa products;1073
C;10732;Manufacture of chocolate and chocolate products;1073
C;10733;Manufacture of sugar confectionery;1073
C;10741;Manufacture of meehoon, noodles and other related products;1074
C;10742;Manufacture of pastas;1074
C;10750;Manufacture of prepared meals and dishes;1075
C;10791;Manufacture of coffee;1079
C;10792;Manufacture of tea;1079
C;10793;Manufacture of sauces and condiments;1079
C;10794;Manufacture of spices and curry powder;1079
C;10795;Manufacture of egg products;1079
C;10799;Manufacture of other food products n.e.c.;1079
C;10800;Manufacture of prepared animal feeds;1080
C;11010;Distilling, rectifying and blending of spirits;1101
C;11020;Manufacture of wines;1102
C;11030;Manufacture of malt liquors and malt;1103
C;11041;Manufacture of soft drinks;1104
C;11042;Production of natural mineral water and other bottled water;1104
C;12000;MANUFACTURE OF TOBACCO PRODUCTS;1200
C;13110;Preparation and spinning of textile fibres;1311
C;13120;Weaving of textiles;1312
C;13131;Batik making;1313
C;13132;Dyeing, bleaching, printing and finishing of yarns and fabrics;1313
C;13139;Other finishing textiles;1313
C;13910;Manufacture of knitted and crocheted fabrics;1391
C;13921;Manufacture of made-up articles of any textile materials, including of knitted or crocheted fabrics;1392
C;13922;Manufacture of made-up furnishing articles;1392
C;13930;Manufacture of carpets and rugs;1393
C;13940;Manufacture of cordage, rope, twine and netting;1394
C;13990;Manufacture of other textiles n.e.c.;1399
C;14101;Manufacture of specific wearing apparel;1410
C;14102;Manufacture of clothings;1410
C;14103;Custom tailoring;1410
C;14109;Manufacture of other clothing accessories;1410
C;14200;Manufacture of articles made of fur skins;1420
C;14300;Manufacture of knitted and crocheted apparel;1430
C;15110;Tanning and dressing of leather dressing and dyeing of fur;1511
C;15120;Manufacture of luggage, handbags and the like, saddlery and harness;1512
C;15201;Manufacture of leather footwear;1520
C;15202;Manufacture of plastic footwear;1520
C;15203;Manufacture of rubber footwear;1520
C;15209;Manufacture of other footwear n.e.c.;1520
C;16211;Manufacture of veneer sheets and plywood;1621
C;16212;Manufacture of particle board and fibreboard;1621
C;16221;Manufacture of builders' carpentry;1622
C;16222;Manufacture of joinery wood products;1622
C;16230;Manufacture of wooden containers;1623
C;16291;Manufacture of wood charcoal;1629
C;16292;Manufacture of other products of wood, cane, articles of cork, straw and plaiting materials;1629
C;17010;Manufacture of pulp, paper and paperboard;1701
C;17020;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;1702
C;17091;Manufacture of envelopes and letter-card;1709
C;17092;Manufacture of household and personal hygiene paper;1709
C;17093;Manufacture of gummed or adhesive paper in strips or rolls and labels and wall paper;1709
C;17094;Manufacture of effigies, funeral paper goods, joss paper;1709
C;17099;Manufacture of other articles of paper and paperboard n.e.c.;1709
C;18110;Printing;1811
C;18120;Service activities related to printing;1812
C;18200;Reproduction of recorded media;1820
C;19100;Manufacture of coke oven products;1910
C;19201;Manufacture of refined petroleum products;1920
C;19202;Manufacture of bio-diesel products;1920
C;20111;Manufacture of liquefied or compressed inorganic industrial or medical gases;2011
C;20112;Manufacture of basic organic chemicals;2011
C;20113;Manufacture of inorganic compounds;2011
C;20119;Manufacture of other basic chemicals n.e.c.;2011
C;20121;Manufacture of fertilizers;2012
C;20129;Manufacture of associated nitrogen products;2012
C;20131;Manufacture of plastic in primary forms;2013
C;20132;Manufacture of synthetic rubber in primary forms: synthetic rubber, factice;2013
C;20133;Manufacture of mixtures of synthetic rubber and natural rubber or rubber - like gums;2013
C;20210;Manufacture of pesticides and other agrochemical products;2021
C;20221;Manufacture of paints, varnishes and similar coatings ink and mastics;2022
C;20222;Manufacture of printing ink;2022
C;20231;Manufacture of soap and detergents, cleaning and polishing preparations;2023
C;20232;Manufacture of perfumes and toilet preparations;2023
C;20291;Manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials;2029
C;20292;Manufacture of writing and drawing ink;2029
C;20299;Manufacture of other chemical products n.e.c.;2029
C;20300;Manufacture of man-made fibres;2030
C;21001;Manufacture of medicinal active substances to be used for their pharmacological properties in the manufacture of medicaments;2100
C;21002;Processing of blood;2100
C;21003;Manufacture of medicaments;2100
C;21004;Manufacture of chemical contraceptive products;2100
C;21005;Manufacture of medical diagnostic preparation;2100
C;21006;Manufacture of radioactive in-vivo diagnostic substances;2100
C;21007;Manufacture of biotech pharmaceuticals;2100
C;21009;Manufacture of other pharmaceuticals, medicinal chemical and botanical products n.e.c.;2100
C;22111;Manufacture of rubber tyres for vehicles;2211
C;22112;Manufacture of interchangeable tyre treads and retreading rubber tyres;2211
C;22191;Manufacture of other products of natural or synthetic rubber, unvulcanized, vulcanized or hardened;2219
C;22192;Manufacture of rubber gloves;2219
C;22193;Rubber remilling and latex processing;2219
C;22199;Manufacture of other rubber products n.e.c;2219
C;22201;Manufacture of semi-manufactures of plastic products;2220
C;22202;Manufacture of finished plastic products;2220
C;22203;Manufacture of plastic articles for the packing of goods;2220
C;22204;Manufacture of builders' plastics ware;2220
C;22205;Manufacture of plastic tableware, kitchenware and toilet articles;2220
C;22209;Manufacture of diverse plastic products n.e.c.;2220
C;23101;Manufacture of flat glass, including wired, coloured or tinted flat glass;2310
C;23102;Manufacture of laboratory, hygienic or pharmaceutical glassware;2310
C;23109;Manufacture of other glass products n.e.c.;2310
C;23911;Manufacture of refractory mortars and concretes;2391
C;23912;Manufacture of refractory ceramic goods;2391
C;23921;Manufacture of non-refractory ceramic;2392
C;23929;Manufacture of other clay building materials;2392
C;23930;Manufacture of other porcelain and ceramic products;2393
C;23941;Manufacture of hydraulic cement;2394
C;23942;Manufacture of lime and plaster;2394
C;23951;Manufacture of ready-mix and dry-mix concrete and mortars;2395
C;23952;Manufacture of precast concrete, cement or artificial stone articles for use in construction;2395
C;23953;Manufacture of prefabricated structural components for building or civil engineering of cement, concrete or artificial stone;2395
C;23959;Manufacture of other articles of concrete, cement and plaster n.e.c.;2395
C;23960;Cutting, shaping and finishing of stone;2396
C;23990;Manufacture of other non-metallic mineral products n.e.c.;2399
C;24101;Production of pig iron and spiegeleisen in pigs, blocks or other primary forms;2410
C;24102;Production of bars and rods of stainless steel or other alloy steel;2410
C;24103;Manufacture of seamless tubes, by hot rolling, hot extrusion or hot drawing, or by cold drawing or cold rolling;2410
C;24104;Manufacture of steel tube fittings;2410
C;24109;Manufacture of other basic iron and steel products n.e.c.;2410
C;24201;Tin smelting;2420
C;24202;Production of aluminium from alumina;2420
C;24209;Manufacture of other basic precious and other non-ferrous metals n.e.c.;2420
C;24311;Casting of iron;2431
C;24312;Casting of steel;2431
C;24320;Casting of non-ferrous metals;2432
C;25111;Manufacture of industrial frameworks in metal;2511
C;25112;Manufacture of prefabricated buildings mainly of metal;2511
C;25113;Manufacture of metal doors, windows and their frames, shutters and gates;2511
C;25119;Manufacture of other structural metal products;2511
C;25120;Manufacture of tanks, reservoirs and containers of metal;2512
C;25130;Manufacture of steam generators, except central heating hot water boilers;2513
C;25200;Manufacture of weapons and ammunitionForm C 2012 Guidebook Self Assessment System;2520
C;25910;Forging, pressing, stamping and roll-forming of metal powder metallurgy;2591
C;25920;Treatment and coating of metals machining;2592
C;25930;Manufacture of cutlery, hand tools and general hardware;2593
C;25991;Manufacture of tins and cans for food products, collapsible tubes and boxes;2599
C;25992;Manufacture of metal cable, plaited bands and similar articles;2599
C;25993;Manufacture of bolts, screws, nuts and similar threaded products;2599
C;25994;Manufacture of metal household articles;2599
C;25999;Manufacture of any other fabricated metal products n.e.c.;2599
C;26101;Manufacture of diodes, transistors and similar semiconductor devices;2610
C;26102;Manufacture electronic integrated circuits micro assemblies;2610
C;26103;Manufacture of electrical capacitors and resistors;2610
C;26104;Manufacture of printed circuit boards;2610
C;26105;Manufacture of display components;2610
C;26109;Manufacture of other components for electronic applications;2610
C;26201;Manufacture of computers;2620
C;26202;Manufacture of peripheral equipment;2620
C;26300;Manufacture of communication equipment;2630
C;26400;Manufacture of consumer electronics;2640
C;26511;Manufacture of measuring, testing, navigating and control equipment;2651
C;26512;Manufacture of industrial process control equipment;2651
C;26520;Manufacture of watches and clocks and parts;2652
C;26600;Manufacture of irradiation, electro medical and electrotherapeutic equipment;2660
C;26701;Manufacture of optical instruments and equipment;2670
C;26702;Manufacture of photographic equipment;2670
C;26800;Manufacture of magnetic and optical recording media;2680
C;27101;Manufacture of electric motors, generators and transformers;2710
C;27102;Manufacture of electricity distribution and control apparatus;2710
C;27200;Manufacture of batteries and accumulators;2720
C;27310;Manufacture of fibre optic cables;2731
C;27320;Manufacture of other electronic and electric wires and cables;2732
C;27330;Manufacture of current-carrying and non current-carrying wiring devices for electrical circuits regardless of material;2733
C;27400;Manufacture of electric lighting equipment;2740
C;27500;Manufacture of domestic appliances;2750
