Section;MSIC Code;Description;ISIC CODE
H;52222;Vessel salvage and refloating services;5222
H;52229;Other service activities incidental to water transportation n.e.c.;5222
H;52231;Operation of terminal facilities;5223
H;52232;Airport and air-traffic-control activities;5223
H;52233;Ground service activities on airfields;5223
H;52234;Fire fighting and fire-prevention services at airports;5223
H;52239;Other service activities incidental to air transportation n.e.c.;5223
H;52241;Stevedoring services;5224
H;52249;Other cargo handling activities n.e.c.;5224
H;52291;Forwarding of freight;5229
H;52292;Brokerage for ship and aircraft space;5229
H;52299;Other transportation support activities n.e.c.;5229
H;53100;National postal services;5310
H;53200;Courier activities other than national post activities;5320
I;55101;Hotels and resort hotels;5510
I;55102;MotelsForm C 2012 Guidebook Self Assessment System;5510
I;55103;Apartment hotels;5510
I;55104;Chalets;5510
I;55105;Rest house/guest house;5510
I;55106;Bed and breakfast units;5510
I;55107;Hostels;5510
I;55108;Home stay;5510
I;55109;Other short term accommodation activities n.e.c.;5510
I;55200;Camping grounds, recreational vehicle parks and trailer parks;5520
I;55900;Other accommodation;5590
I;56101;Restaurants and restaurant cum night clubs;5610
I;56102;Cafeterias/canteens;5610
I;56103;Fast-food restaurants;5610
I;56104;Ice cream truck vendors and parlours;5610
I;56105;Mobile food carts;5610
I;56106;Food stalls/hawkers;5610
I;56107;Food or beverage, food and beverage preparation in market stalls/hawkers;5610
I;56210;Event/food caterers;5621
I;56290;Other food service activities;5629
I;56301;Pubs, bars, discotheques, coffee houses, cocktail lounges and karaoke;5630
I;56302;Coffee shops;5630
I;56303;Drink stalls/hawkers;5630
I;56304;Mobile beverage;5630
I;56309;Others drinking places n.e.c.;5630
J;58110;Publishing of books, brochures and other publications;5811
J;58120;Publishing of mailing lists, telephone book, other directories;5812
J;58130;Publishing of newspapers, journals, magazines and periodicals in print or electronic form;5813
J;58190;Publishing of catalogues, photos, engraving and postcards, greeting cards, forms, posters, reproduction of works of art, advertising material and other printed matter n.e.c.;5819
J;58201;Business and other applications;5820
J;58202;Computer games for all platforms;5820
J;58203;Operating systems;5820
J;59110;Motion picture, video and television programme production activities;5911
J;59120;Motion picture, video and television programme post-production activities;5912
J;59130;Motion picture, video and television programme distribution activities;5913
J;59140;Motion picture projection activities;5914
J;59200;Sound recording and music publishing activities;5920
J;60100;Radio broadcasting;6010
J;60200;Television programming and broadcasting activities;6020
J;61101;Wired telecommunications services;6110
J;61102;Internet access providers by the operator of the wired infrastructure;6110
J;61201;Wireless telecommunications services;6120
J;61202;Internet access providers by the operator of the wireless infrastructure;6120
J;61300;Satellite telecommunications services;6130
J;61901;Provision of Internet access over networks between the client and the ISP not owned or controlled by the ISP;6190
J;61902;Provision of telecommunications services over existing telecom connection;6190
J;61903;Telecommunications resellers;6190
J;61904;Provision of telecommunications services over existing telecom connections VOIP (Voice Over;6190
J;61905;Provision of specialized telecommunications applications;6190
J;61909;Other telecommunications activities n.e.c.;6190
J;62010;Computer programming activities;6201
J;62021;Computer consultancy;6202
J;62022;Computer facilities management activities;6202
J;62091;Information Communication Technology (ICT) system security;6209
J;62099;Other information technology service activities n.e.c.;6209
J;63111;Activities of providing infrastructure for hosting, data processing services and related activities;6311
J;63112;Data processing activities;6311
J;63120;Web portals;6312
J;63910;News syndicate and news agency activities;6391
J;63990;Other information service activities n.e.c.;6399
K;64110;Central banking;6411
K;64191;Commercial Banks;6419
K;64192;Islamic Banks;6419
K;64193;Offshore Banks;6419
K;64194;Investment Banks;6419
K;64195;Development financial institutions (with deposit taking functions);6419
K;64199;Other monetary intermediation (with deposit taking functions) n.e.c.;6419
K;64200;Activities of holding companies;6420
K;64301;Venture capital companies;6430
K;64302;Unit trust fund excludes REITs;6430
K;64303;Property unit trust (REITs);6430
K;64304;Other administration of trusts accounts;6430
K;64309;Trusts, funds and similar financial entities n.e.c.;6430
K;64910;Financial leasing activities;6491
K;64921;Development financial institutions (without deposit taking functions);6492
K;64922;Credit card servicesForm C 2012 Guidebook Self Assessment System;6492
K;64923;Licensed money lending activities;6492
K;64924;Pawnshops and pawnbrokers includes Ar-Rahnu;6492
K;64925;Co-operative with credits functions;6492
K;64929;Other credit granting n.e.c.;6492
K;64991;Factoring companies;6499
K;64992;Representative office of foreign banks;6499
K;64993;Nominee companies;6499
K;64999;Other financial service activities, except insurance/takaful and pension funding n.e.c.;6499
K;65111;Life insurance;6511
K;65112;Family takaful;6511
K;65121;General insurance;6512
K;65122;General takaful;6512
K;65123;Composite insurance;6512
K;65124;Offshore insurance;6512
K;65125;Offshore takaful;6512
K;65201;Life reinsurance;6520
K;65202;Family retakaful;6520
K;65203;General reinsurance;6520
K;65204;General retakaful;6520
K;65205;Composite retakaful;6520
K;65206;Offshore reinsurance;6520
K;65207;Offshore retakaful;6520
K;65301;Pension funding;6530
K;65302;Provident funding;6530
K;66111;Stock exchanges;6611
K;66112;Exchanges for commodity contracts;6611
K;66113;Securities exchange;6611
K;66114;Exchanges for commodity futures contracts;6611
K;66119;Administration of financial markets n.e.c.;6611
K;66121;Stock, share and bond brokers;6612
K;66122;Commodity brokers and dealers;6612
K;66123;Gold bullion dealers;6612
K;66124;Foreign exchange broker and dealers (Bureaux de change);6612
K;66125;Money-changing services;6612
K;66129;Other financial and commodity futures brokers and dealers;6612
K;66191;Investment advisory services;6619
K;66192;Financial consultancy services;6619
K;66199;Activities auxiliary to finance n.e.c.;6619
K;66211;Insurance adjusting service;6621
K;66212;Takaful adjusting service;6621
K;66221;Insurance agents;6622
K;66222;Takaful agentsForm C 2012 Guidebook Self Assessment System;6622
K;66223;Insurance brokers;6622
K;66224;Takaful brokers;6622
K;66290;Other activities auxiliary to insurance, takaful and pension funding;6629
K;66301;Management of pension funds;6630
K;66302;Assets/portfolio management;6630
K;66303;Unit trust management companies;6630
L;68101;Buying, selling, renting and operating of self-owned or leased real estate – residential buildings;6810
L;68102;Buying, selling, renting and operating of self-owned or leased real estate – non-residential buildings;6810
L;68103;Buying, selling, renting and operating of self-owned or leased real estate – land;6810
L;68104;Development of building projects for own operation, i.e. for renting of space in these buildings;6810
L;68109;Real estate activities with own or leased property n.e.c.;6810
L;68201;Activities of real estate agents and brokers for buying, selling and renting of real estate;6820
L;68202;Management of real estate on a fee or contract basis;6820
L;68203;Appraisal services for real estate;6820
L;68209;Real estate activities on a fee or contract basis n.e.c.;6820
M;69100;Legal activities;6910
M;69200;Accounting, bookkeeping and auditing activities tax consultancy;6920
M;70100;Activities of head offices;7010
M;70201;Business management consultancy services;7020
M;70202;Human resource consultancy services;7020
M;70203;Consultancy services in public relation and communications;7020
M;70209;Other management consultancy activities n.e.c;7020
M;71101;Architectural services;7110
M;71102;Engineering services;7110
M;71103;Land surveying services;7110
M;71109;Other architectural and engineering activities and related technical consultancy n.e.c.;7110
M;71200;Technical testing and analysis;7120
M;72101;Research and development on natural sciences;7210
M;72102;Research and development on engineering and technology;7210
M;72103;Research and development on medical sciences;7210
M;72104;Research and development on biotechnology;7210
M;72105;Research and development on agricultural sciences;7210
M;72106;Research and development on Information Communication Technology (ICT);7210
M;72109;Research and development on other natural science and engineering n.e.c.;7210
M;72201;Research and development on social sciences;7220
M;72202;Research and development on humanities;7220
M;72209;Research and development of other social sciences and humanities n.e.c.Form C 2012 Guidebook Self Assessment System;7220
M;73100;Advertising;7310
M;73200;Market research and public opinion polling;7320
M;74101;Activities of interior decorators;7410
M;74102;Services of graphic designers;7410
M;74103;Fashion design services;7410
M;74109;Specialized design activities n.e.c.;7410
M;74200;Photographic activities;7420
M;74901;Translation and interpretation activities;7490
M;74902;Business brokerage activities;7490
M;74903;Security consulting;7490
M;74904;Activities of quantity surveyors;7490
M;74905;Activities of consultants other than architecture, engineering and management consultants;7490
M;74909;Any other professional, scientific and technical activities n.e.c.;7490
M;75000;VETERINARY ACTIVITIES;7500
N;77101;Renting and operational leasing of passenger cars (without driver);7710
N;77102;Renting and operational leasing of trucks, utility trailers and recreational vehicles;7710
N;77211;Renting and leasing of pleasure boats, canoes, sailboats;7721
N;77212;Renting and leasing of bicycles;7721
N;77213;Renting and leasing of beach chairs and umbrellas;7721
N;77219;Renting and leasing of other sports equipment n.e.c.;7721
N;77220;Renting of video tapes, records, CDs, DVDs;7722
N;77291;Renting and leasing of textiles, wearing apparel and footwear;7729
N;77292;Renting and leasing of furniture, pottery and glass, kitchen and tableware, electrical appliances and house wares;7729
N;77293;Renting and leasing of jewellery, musical instruments, scenery and costumes;7729
N;77294;Renting and leasing of books, journals and magazines;7729
N;77295;Renting and leasing of machinery and equipment used by amateurs or as a hobby;7729
N;77296;Renting of flowers and plants;7729
N;77297;Renting and leasing of electronic equipment for household use;7729
N;77299;Renting and leasing of other personal and household goods n.e.c.;7729
N;77301;Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by industries;7730
N;77302;Renting and operational leasing of land-transport equipment (other than motor vehicles) without drivers;7730
N;77303;Renting and operational leasing of water-transport equipment without operator;7730
N;77304;Renting and operational leasing of air transport equipment without operator;7730
N;77305;Renting and operational leasing of agricultural and forestry machinery and equipment without operator;7730
N;77306;Renting and operational leasing of construction and civil-engineering machinery and equipment without operator;7730
N;77307;Rental and operational leasing of office machinery and equipment without operator;7730
N;77309;Renting and leasing of other machinery, equipment and tangible goods n.e.c.;7730
N;77400;Leasing of intellectual property and similar products, except copyrighted worksForm C 2012 Guidebook Self Assessment System;7740
N;78100;Activities of employment placement agencies;7810
N;78200;Temporary employment agency activities;7820
N;78300;Provision of human resources for client businesses;7830
N;79110;Travel agency activities;7911
N;79120;Tour operator activities;7912
N;79900;Other reservation service and related activities;7990
N;80100;Private security activities;8010
N;80200;Security systems service activities;8020
N;80300;Investigation and detective activities;8030
N;81100;Combined facilities support activities;8110
N;81210;General cleaning of buildings;8121
N;81291;Cleaning of buildings of all types;8129
N;81292;Swimming pool cleaning and maintenance services;8129
N;81293;Cleaning of industrial machinery;8129
N;81294;Cleaning of trains, buses, planes;8129
N;81295;Cleaning of pest control services not in connection with agriculture;8129
N;81296;Disinfecting and exterminating activities;8129
N;81297;Cleaning of sea tankers;8129
N;81299;Other building and industrial cleaning activities, n.e.c.;8129
N;81300;Landscape care and maintenance service activities;8130
N;82110;Combined office administrative service activities;8211
N;82191;Document preparation, editing and/or proofreading;8219
N;82192;Typing, word processing or desktop publishing;8219
N;82193;Secretarial support services;8219
N;82194;Transcription of documents and other secretarial services;8219
N;82195;Provision of mailbox rental and other postal and mailing services;8219
N;82196;Photocopying, duplicating, blueprinting;8219
N;82199;Photocopying, document preparation and other specialized office support activities n.e.c.;8219
N;82200;Activities of call centres;8220
N;82301;Organization, promotions and/or management of event;8230
N;82302;Meeting, incentive, convention, exhibition (MICE);8230
N;82910;Activities of collection agencies and credit bureaus;8291
N;82920;Packaging activities on a fee or contract basis, whether or not these involve an automated process;8292
N;82990;Other business support service activities n.e.c.;8299
O;84111;General (overall) public administration activities;8411
O;84112;Ancillary service activities for the government as a wholeForm C 2012 Guidebook Self Assessment System;8411
O;84121;Administrative educational services;8412
O;84122;Administrative health care services;8412
O;84123;Administrative housing and local government services;8412
O;84124;Administrative recreational, cultural, arts and sports services;8412
O;84125;Administrative religious affairs services;8412
O;84126;Administrative welfare services;8412
O;84129;Other community and social affairs services;8412
O;84131;Domestic and international trade affairs;8413
O;84132;Agriculture and rural development affairs;8413
O;84133;Primary industries affairs;8413
O;84134;Public works affairs;8413
O;84135;Transport affairs;8413
O;84136;Energy, telecommunication and postal affairs;8413
O;84137;Tourism affairs;8413
O;84138;Human resource affairs;8413
O;84139;Other regulation of and contribution to more efficient operation of businesses n.e.c.;8413
O;84210;Foreign affairs;8421
O;84220;Military and civil defence services;8422
O;84231;Police service;8423
O;84232;Prison service;8423
O;84233;Immigration service;8423
O;84234;National registration service;8423
O;84235;Judiciary and legal service;8423
O;84236;Firefighting and fire prevention;8423
O;84239;Other public order and safety affairs related services;8423
O;84300;Compulsory social security activities e.g. SOCSO;8430
P;85101;Pre-primary education (Public);8510
P;85102;Pre-primary education (Private);8510
P;85103;Primary education (Public);8510
P;85104;Primary education (Private);8510
P;85211;General school secondary education (Public);8521
P;85212;General school secondary education (Private);8521
P;85221;Technical and vocational education below the level of higher education (Public);8522
P;85222;Technical and vocational education below the level of higher education (Private);8522
P;85301;College and university education (Public);8530
P;85302;College and university education (Private);8530
P;85411;Sports instruction;8541
P;85412;Martial arts instruction;8541
P;85419;Any other sports and recreation education n.e.c;8541
P;85421;Music and dancing school;8542
P;85429;Any other cultural education n.e.c.;8542
P;85491;Tuition centre;8549
P;85492;Driving school;8549
P;85493;Religious instruction;8549
P;85494;Computer trainingForm C 2012 Guidebook Self Assessment System;8549
P;85499;Others education n.e.c;8549
P;85500;Educational support services for provision of non-instructional services;8550
Q;86101;Hospital activities;8610
Q;86102;Maternity home services (outside hospital);8610
Q;86201;General medical services;8620
Q;86202;Specialized medical services;8620
Q;86203;Dental services;8620
Q;86901;Dialysis Centres;8690
Q;86902;Medical laboratories;8690
Q;86903;Physiotherapy and occupational therapy service;8690
Q;86904;Acupuncture services;8690
Q;86905;Herbalist and homeopathy services;8690
Q;86906;Ambulance services;8690
Q;86909;Other human health services n.e.c.;8690
Q;87101;Homes for the elderly with nursing care;8710
Q;87102;Nursing homes;8710
Q;87103;Palliative or hospices;8710
Q;87201;Drug rehabilitation centres;8720
Q;87209;Other residential care activities for mental retardation n.e.c.;8720
Q;87300;Residential care activities for the elderly and disabled;8730
Q;87901;Orphanages;8790
Q;87902;Welfare homes services;8790
Q;87909;Other residential care activities n.e.c.;8790
Q;88101;Day-care activities for the elderly or for handicapped adults;8810
Q;88109;Others social work activities without accommodation for the elderly and disabled;8810
Q;88901;Counselling service;8890
Q;88902;Child day-care activities;8890
Q;88909;Other social work activities without accommodation n.e.c.;8890
R;90001;Theatrical producer, singer group band and orchestra entertainment services;9000
R;90002;Operation of concert and theatre halls and other arts facilities;9000
R;90003;Activities of sculptors, painters, cartoonists, engravers, etchers;9000
R;90004;Activities of individual writers, for all subjects;9000
R;90005;Activities of independent journalists;9000
R;90006;Restoring of works of art such as painting;9000
R;90007;Activities of producers or entrepreneurs of arts live events, with or without facilities;9000
R;90009;Creative, arts and entertainment activities n.e.c.Form C 2012 Guidebook Self Assessment System;9000
R;91011;Documentation and information activities of libraries of all kinds;9101
R;91012;Stock photo libraries and services;9101
R;91021;Operation of museums of all kinds;9102
R;91022;Operation of historical sites and buildings;9102
R;91031;Operation of botanical and zoological gardens;9103
R;91032;Operation of nature reserves, including wildlife preservation;9103
R;92000;GAMBLING AND BETTING ACTIVITIES;9200
R;93111;Football, hockey, cricket, baseball, badminton, futsal, paintball;9311
R;93112;Racetracks for auto;9311
R;93113;Equestrian clubs;9311
R;93114;Swimming pools and stadiums, ice-skating arenas;9311
R;93115;Track and field stadium;9311
R;93116;Golf courses;9311
R;93117;Bowling centre;9311
R;93118;Fitness centres;9311
R;93119;Organization and operation of outdoor or indoor sports events for professionals or amateurs by organizations with own facilities;9311
R;93120;The operation of sports clubs such as football club, bowling club, swimming club;9312
R;93191;Activities of producers or promoters of sports events, with or without facilities;9319
R;93192;Activities of sports leagues and regulating bodies;9319
R;93193;Activities of related to promotion of sporting events;9319
R;93199;Other sports activities n.e.c.;9319
R;93210;Activities of amusement parks and theme parks;9321
R;93291;Activities of recreation parks and beaches;9329
R;93292;Operation of recreational transport facilities;9329
R;93293;Renting of leisure and pleasure equipment as an integral part of recreational facilities;9329
R;93294;Operation of fairs and shows of a recreational nature;9329
R;93295;Operation of discotheques and dance floors;9329
R;93296;Activities of producers or entrepreneurs of live events other than arts or sports events, with or without facilities;9329
R;93297;Cyber Café/Internet Centre;9329
R;93299;Any other amusement and recreation activities n.e.c.;9329
S;94110;Activities of business and employers membership organizations;9411
S;94120;Activities of professional membership organizations;9412
S;94200;Activities of trade unions;9420
S;94910;Activities of religious organizations;9491
S;94920;Activities of political organizations;9492
S;94990;Activities of other membership organizations n.e.c.;9499
S;95111;Repair of electronic equipment;9511
S;95112;Repair and maintenance of computer terminals;9511
S;95113;Repair and maintenance of hand-held computers (PDA's);9511
S;95121;Repair and maintenance of cordless telephonesForm C 2012 Guidebook Self Assessment System;9512
S;95122;Repair and maintenance of cellular phones;9512
S;95123;Repair and maintenance of carrier equipment modems;9512
S;95124;Repair and maintenance of fax machines;9512
S;95125;Repair and maintenance of communications transmission equipment;9512
S;95126;Repair and maintenance of two-way radios;9512
S;95127;Repair and maintenance of commercial TV and video cameras;9512
S;95211;Repair and maintenance of television, radio receivers;9521
S;95212;Repair and maintenance of VCR/DVD/VCD;9521
S;95213;Repair and maintenance of CD players;9521
S;95214;Repair and maintenance of household-type video cameras;9521
S;95221;Repair and servicing of household appliances;9522
S;95222;Repair and servicing of home and garden equipment;9522
S;95230;Repair of footwear and leather goods;9523
S;95240;Repair of furniture and home furnishings;9524
S;95291;Repair of bicycles;9529
S;95292;Repair and alteration of clothing;9529
S;95293;Repair and alteration of jewellery;9529
S;95294;Repair of watches, clocks and their parts;9529
S;95295;Repair of sporting goods;9529
S;95296;Repair of musical instruments;9529
S;95299;Repair of other personal and household goods n.e.c.;9529
S;96011;Laundering and dry-cleaning, pressing;9601
S;96012;Carpet and rug shampooing, and drapery and curtain cleaning, whether on clients' premises or not;9601
S;96013;Provision of linens, work uniforms and related items by laundries;9601
S;96014;Diaper supply services;9601
S;96020;Hairdressing and other beauty treatment;9602
S;96031;Preparing the dead for burial or cremation and embalming and morticians' services;9603
S;96032;Providing burial or cremation services;9603
S;96033;Rental of equipped space in funeral parlours;9603
S;96034;Rental or sale of graves;9603
S;96035;Maintenance of graves an d mausoleums;9603
S;96091;Activities of sauna, steam baths, massage salons;9609
S;96092;Astrological and spiritualists' activities;9609
S;96093;Social activities such as escort services, dating services, services of marriage bureaux;9609
S;96094;Pet care services;9609
S;96095;Genealogical organizations;9609
S;96096;Shoe shiners, porters, valet car parkers;9609
S;96097;Concession operation of coin-operated personal service machines;9609
S;96099;Other service activities n.e.c.;9609
T;97000;Activities of households as employers of domestic personnel;9700
T;98100;Undifferentiated goods-producing activities of private households for own use;9810
T;98200;Undifferentiated service-producing activities of private households for own use;9820
U;99000;Activities of extraterritorial organization and bodies;9900
